rank1,rank2,rank3,rank4,rank5,count
Paperboy Love Prince,,,,,188
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,188
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,188
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,,,187
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,,,187
Andrew M. Cuomo,Scott M. Stringer,Michael Blake,,,187
Adrienne E. Adams,Michael Blake,,,,185
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,185
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,,,185
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,,,184
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Jessica Ramos,183
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Michael Blake,Scott M. Stringer,183
Jessica Ramos,Andrew M. Cuomo,,,,181
Andrew M. Cuomo,Jessica Ramos,Brad Lander,,,181
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Zellnor Myrie,180
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Scott M. Stringer,180
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,180
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Paperboy Love Prince,180
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,179
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Zellnor Myrie,Brad Lander,178
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,178
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,176
Adrienne E. Adams,Scott M. Stringer,Brad Lander,,,174
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Michael Blake,173
Brad Lander,Zellnor Myrie,Adrienne E. Adams,,,173
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,,173
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zellnor Myrie,172
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Michael Blake,171
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,169
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,169
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,169
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,168
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,,167
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,167
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Scott M. Stringer,167
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,167
Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,,,166
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,165
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,164
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,163
Brad Lander,Zellnor Myrie,,,,162
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Jessica Ramos,162
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,,162
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,,162
Andrew M. Cuomo,Brad Lander,Zellnor Myrie,,,162
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,,160
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,160
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,160
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,160
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,159
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,,159
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,159
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Zellnor Myrie,Adrienne E. Adams,157
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,157
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,156
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Paperboy Love Prince,156
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Brad Lander,155
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,,,155
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,,155
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,Scott M. Stringer,154
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,154
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Michael Blake,154
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,153
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Brad Lander,Adrienne E. Adams,153
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Michael Blake,Adrienne E. Adams,153
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Jessica Ramos,153
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zellnor Myrie,152
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,152
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,,,151
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,151
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,,150
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Selma K. Bartholomew,148
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,Scott M. Stringer,148
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zellnor Myrie,147
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Michael Blake,Brad Lander,147
Brad Lander,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,146
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,146
Scott M. Stringer,Adrienne E. Adams,,,,146
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,,146
Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,145
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,144
Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,Brad Lander,Scott M. Stringer,143
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,143
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zellnor Myrie,143
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,,142
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,142
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,Michael Blake,142
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,142
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,141
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Michael Blake,140
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,140
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,,139
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,139
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,139
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,139
Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,,,138
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Brad Lander,Adrienne E. Adams,138
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Paperboy Love Prince,138
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,,138
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,138
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,138
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Brad Lander,137
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,,137
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,137
Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Brad Lander,136
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,136
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,136
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,135
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,135
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Scott M. Stringer,Adrienne E. Adams,135
Zellnor Myrie,Andrew M. Cuomo,,,,134
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,134
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,134
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,134
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Michael Blake,134
Andrew M. Cuomo,Brad Lander,Jessica Ramos,,,133
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,,133
Andrew M. Cuomo,Jessica Ramos,Michael Blake,,,131
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,130
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Jessica Ramos,129
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Michael Blake,129
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,,128
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,128
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,,,128
Andrew M. Cuomo,Zellnor Myrie,Brad Lander,,,127
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Jessica Ramos,Adrienne E. Adams,127
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,,127
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,Scott M. Stringer,127
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Andrew M. Cuomo,126
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,,,126
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,126
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Brad Lander,125
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,,125
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Zellnor Myrie,Adrienne E. Adams,125
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,125
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,124
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,,124
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,,124
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,124
Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,,,124
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Michael Blake,124
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Scott M. Stringer,124
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,123
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Michael Blake,,123
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Brad Lander,,123
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,,123
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,123
Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,,,122
Scott M. Stringer,Brad Lander,Adrienne E. Adams,,,121
Zellnor Myrie,Adrienne E. Adams,,,,121
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,121
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,120
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,119
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,119
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,,,119
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,119
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Michael Blake,118
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Michael Blake,118
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,118
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,117
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,,117
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,117
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,116
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,,116
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,116
Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,,,116
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Scott M. Stringer,Jessica Ramos,115
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,115
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,115
Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,,,115
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Michael Blake,115
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Brad Lander,114
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,,114
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,114
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Michael Blake,113
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,,,113
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,113
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,,112
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,112
Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,,,112
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,112
Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,,,111
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Paperboy Love Prince,111
Adrienne E. Adams,Brad Lander,Zellnor Myrie,,,111
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,111
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,111
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Michael Blake,111
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,111
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Brad Lander,,110
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Jessica Ramos,109
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,,109
Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,,,109
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,,109
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Paperboy Love Prince,108
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,108
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Jessica Ramos,108
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Michael Blake,108
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Michael Blake,108
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,108
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Michael Blake,Scott M. Stringer,108
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,,,108
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,108
Adrienne E. Adams,Andrew M. Cuomo,,,,108
Scott M. Stringer,Adrienne E. Adams,Brad Lander,,,107
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Michael Blake,107
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,,107
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Adrienne E. Adams,Zellnor Myrie,107
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,107
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Scott M. Stringer,107
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Brad Lander,107
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Michael Blake,Brad Lander,106
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,,106
Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,,,106
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,106
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Paperboy Love Prince,Zellnor Myrie,106
Andrew M. Cuomo,Zellnor Myrie,Zohran Kwame Mamdani,,,106
Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,106
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,105
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Zellnor Myrie,Michael Blake,105
Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,105
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,105
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,104
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,104
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,,104
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zellnor Myrie,Adrienne E. Adams,103
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,103
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,,103
Adrienne E. Adams,Jessica Ramos,,,,103
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Scott M. Stringer,Paperboy Love Prince,103
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,103
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Jessica Ramos,102
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,,102
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,102
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,,102
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,102
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,,102
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Brad Lander,102
Zohran Kwame Mamdani,,,,,101
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Michael Blake,101
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,Jessica Ramos,101
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,101
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,,101
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Michael Blake,,101
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Brad Lander,101
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Michael Blake,Zellnor Myrie,101
Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,,,101
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,101
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Paperboy Love Prince,101
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,100
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,100
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,,,100
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Jessica Ramos,100
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,99
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Selma K. Bartholomew,Paperboy Love Prince,99
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Brad Lander,Zellnor Myrie,98
Scott M. Stringer,Zohran Kwame Mamdani,,,,98
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,,,98
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,,98
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,98
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,98
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,98
Zellnor Myrie,Zohran Kwame Mamdani,,,,98
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,,98
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,97
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Whitney R. Tilson,,97
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,,97
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,,97
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zellnor Myrie,97
Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,,,96
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,,96
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Michael Blake,Jessica Ramos,96
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,96
Zohran Kwame Mamdani,Whitney R. Tilson,,,,95
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Paperboy Love Prince,Adrienne E. Adams,95
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,95
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,94
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,,94
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Michael Blake,94
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Paperboy Love Prince,,94
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,94
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,94
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Selma K. Bartholomew,94
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,94
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,,93
Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Brad Lander,93
Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Scott M. Stringer,92
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Brad Lander,92
Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,,,92
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,,,92
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,92
