rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Brad Lander,Zellnor Myrie,228
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,,228
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Jessica Ramos,227
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,227
Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,,,226
Andrew M. Cuomo,,,,,226
Adrienne E. Adams,Brad Lander,Scott M. Stringer,,,225
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,,225
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,225
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zellnor Myrie,224
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,222
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,221
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,220
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,,,220
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Adrienne E. Adams,220
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,219
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,219
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Michael Blake,218
Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,,,217
Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,,,216
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,216
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,,216
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,213
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Michael Blake,Zellnor Myrie,212
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Brad Lander,212
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Brad Lander,211
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,Zellnor Myrie,211
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,,,211
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Michael Blake,210
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,,,210
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,210
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,,,209
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Brad Lander,209
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,207
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,206
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,205
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Paperboy Love Prince,,205
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Jessica Ramos,203
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Scott M. Stringer,201
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,,,200
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Selma K. Bartholomew,200
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,,,199
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,,,199
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,196
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zellnor Myrie,196
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,,,196
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,,,194
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,,,193
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,,193
Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,,,192
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,,,191
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Paperboy Love Prince,191
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,189
