rank1,rank2,rank3,rank4,rank5,count
Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Write-In,1
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Write-In,1
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Paperboy Love Prince,1
Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,Selma K. Bartholomew,,1
Brad Lander,Whitney R. Tilson,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,1
Whitney R. Tilson,Paperboy Love Prince,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Write-In,Jessica Ramos,1
Brad Lander,Andrew M. Cuomo,Write-In,Adrienne E. Adams,,1
Whitney R. Tilson,Michael Blake,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,1
Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Brad Lander,Zellnor Myrie,1
Michael Blake,Jessica Ramos,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,Selma K. Bartholomew,1
Michael Blake,Jessica Ramos,Whitney R. Tilson,Brad Lander,Scott M. Stringer,1
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Write-In,Adrienne E. Adams,1
Whitney R. Tilson,Paperboy Love Prince,Adrienne E. Adams,,,1
Zellnor Myrie,Zellnor Myrie,Zohran Kwame Mamdani,Brad Lander,Write-In,1
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,1
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,1
Write-In,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,1
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Brad Lander,,1
Jessica Ramos,Adrienne E. Adams,Brad Lander,Michael Blake,Scott M. Stringer,1
Jessica Ramos,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,1
Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,1
Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Write-In,1
Scott M. Stringer,Brad Lander,Zellnor Myrie,Jessica Ramos,Write-In,1
Scott M. Stringer,Brad Lander,Adrienne E. Adams,Michael Blake,Write-In,1
Zellnor Myrie,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Write-In,Adrienne E. Adams,1
Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,1
Whitney R. Tilson,Scott M. Stringer,Write-In,Jessica Ramos,Andrew M. Cuomo,1
Jessica Ramos,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,,1
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,1
Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Brad Lander,1
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Paperboy Love Prince,Whitney R. Tilson,1
Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,Michael Blake,,1
Adrienne E. Adams,Scott M. Stringer,Michael Blake,Jessica Ramos,Selma K. Bartholomew,1
Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Andrew M. Cuomo,,1
Adrienne E. Adams,Zohran Kwame Mamdani,Write-In,Michael Blake,Brad Lander,1
Adrienne E. Adams,Scott M. Stringer,Adrienne E. Adams,Scott M. Stringer,Brad Lander,1
Adrienne E. Adams,Jessica Ramos,Jessica Ramos,Selma K. Bartholomew,,1
Write-In,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,1
Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,1
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Zellnor Myrie,Paperboy Love Prince,1
Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,Zellnor Myrie,1
Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,Zellnor Myrie,Write-In,1
Andrew M. Cuomo,Andrew M. Cuomo,Jessica Ramos,Jessica Ramos,Andrew M. Cuomo,1
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,Write-In,1
Jessica Ramos,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,1
Adrienne E. Adams,Michael Blake,Zellnor Myrie,Andrew M. Cuomo,Paperboy Love Prince,1
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Michael Blake,Whitney R. Tilson,1
Jessica Ramos,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Brad Lander,1
Michael Blake,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,1
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Write-In,1
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Write-In,Scott M. Stringer,1
Whitney R. Tilson,Adrienne E. Adams,Jessica Ramos,Brad Lander,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,,1
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,1
Zohran Kwame Mamdani,Scott M. Stringer,Scott M. Stringer,Zohran Kwame Mamdani,Whitney R. Tilson,1
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Write-In,Adrienne E. Adams,1
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Write-In,1
Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,1
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Adrienne E. Adams,Brad Lander,1
Michael Blake,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Zellnor Myrie,1
Andrew M. Cuomo,Whitney R. Tilson,Write-In,Adrienne E. Adams,Michael Blake,1
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Michael Blake,Selma K. Bartholomew,1
Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,1
Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Michael Blake,Paperboy Love Prince,1
Write-In,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Scott M. Stringer,1
Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Jessica Ramos,Jessica Ramos,1
Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,1
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,Write-In,1
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,1
Zellnor Myrie,Jessica Ramos,Jessica Ramos,Paperboy Love Prince,Whitney R. Tilson,1
Jessica Ramos,Zellnor Myrie,Brad Lander,Whitney R. Tilson,Scott M. Stringer,1
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,1
Whitney R. Tilson,Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,1
Andrew M. Cuomo,Write-In,Whitney R. Tilson,Paperboy Love Prince,,1
Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,1
Zellnor Myrie,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Michael Blake,1
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Andrew M. Cuomo,1
Paperboy Love Prince,Adrienne E. Adams,Michael Blake,Zellnor Myrie,Jessica Ramos,1
Zohran Kwame Mamdani,Scott M. Stringer,Write-In,Jessica Ramos,,1
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Paperboy Love Prince,Zohran Kwame Mamdani,1
Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,1
Michael Blake,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Write-In,Paperboy Love Prince,Michael Blake,Whitney R. Tilson,Jessica Ramos,1
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Jessica Ramos,,1
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,1
Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Write-In,,1
Write-In,Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,,1
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Andrew M. Cuomo,1
Michael Blake,Zellnor Myrie,Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,1
Scott M. Stringer,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,1
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,1
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Write-In,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,1
Brad Lander,Michael Blake,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,1
Write-In,Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,,1
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Michael Blake,Zohran Kwame Mamdani,1
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,1
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Jessica Ramos,1
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Paperboy Love Prince,Write-In,1
Brad Lander,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Write-In,1
Adrienne E. Adams,Write-In,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,1
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Adrienne E. Adams,1
Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,Zellnor Myrie,Write-In,1
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,1
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Whitney R. Tilson,Write-In,1
Adrienne E. Adams,Jessica Ramos,Michael Blake,Zohran Kwame Mamdani,,1
Brad Lander,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,1
Zohran Kwame Mamdani,Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Adrienne E. Adams,1
Paperboy Love Prince,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,1
Andrew M. Cuomo,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Michael Blake,1
Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Paperboy Love Prince,1
Jessica Ramos,Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,1
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Brad Lander,1
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,1
Zellnor Myrie,Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,1
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Write-In,Scott M. Stringer,1
Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Andrew M. Cuomo,1
Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,,1
Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,Paperboy Love Prince,,1
Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,1
Zellnor Myrie,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Zohran Kwame Mamdani,1
Brad Lander,Zohran Kwame Mamdani,Write-In,Andrew M. Cuomo,Scott M. Stringer,1
Zohran Kwame Mamdani,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,1
Zellnor Myrie,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Jessica Ramos,1
Scott M. Stringer,Selma K. Bartholomew,Whitney R. Tilson,Paperboy Love Prince,Michael Blake,1
Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Write-In,1
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Write-In,1
Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Brad Lander,,1
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,1
Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,1
Brad Lander,Selma K. Bartholomew,Michael Blake,Jessica Ramos,Adrienne E. Adams,1
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Write-In,Scott M. Stringer,1
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,1
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,,1
Adrienne E. Adams,Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Write-In,Zellnor Myrie,1
Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,Brad Lander,1
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Scott M. Stringer,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,1
Paperboy Love Prince,Michael Blake,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,1
Paperboy Love Prince,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,,1
Scott M. Stringer,Zellnor Myrie,Brad Lander,Whitney R. Tilson,Selma K. Bartholomew,1
Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Paperboy Love Prince,1
Write-In,Zellnor Myrie,Selma K. Bartholomew,,,1
Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,Write-In,1
Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Michael Blake,Scott M. Stringer,1
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Michael Blake,Zohran Kwame Mamdani,1
Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,1
Adrienne E. Adams,Selma K. Bartholomew,Paperboy Love Prince,Zellnor Myrie,Zohran Kwame Mamdani,1
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,,1
Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,1
Brad Lander,Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,1
Jessica Ramos,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Brad Lander,1
Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,1
Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Write-In,Jessica Ramos,1
Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,1
Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Andrew M. Cuomo,Jessica Ramos,1
Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,Zohran Kwame Mamdani,Jessica Ramos,1
Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Write-In,1
Brad Lander,Brad Lander,Zohran Kwame Mamdani,Zohran Kwame Mamdani,,1
Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Brad Lander,Scott M. Stringer,1
Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Write-In,1
Whitney R. Tilson,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Selma K. Bartholomew,1
Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,1
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,,1
Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,1
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Whitney R. Tilson,1
Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,Adrienne E. Adams,1
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,1
Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,Paperboy Love Prince,1
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Paperboy Love Prince,1
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Write-In,Andrew M. Cuomo,1
Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,,1
Zellnor Myrie,Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,1
Brad Lander,Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,,1
Michael Blake,Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,1
Brad Lander,Scott M. Stringer,Write-In,Zohran Kwame Mamdani,,1
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Brad Lander,1
Zellnor Myrie,Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,,1
Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,1
Brad Lander,Whitney R. Tilson,Jessica Ramos,Michael Blake,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Write-In,Paperboy Love Prince,1
Zellnor Myrie,Adrienne E. Adams,Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,1
Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,Zellnor Myrie,1
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,1
Paperboy Love Prince,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,1
Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,1
Zellnor Myrie,Michael Blake,Brad Lander,Scott M. Stringer,Jessica Ramos,1
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Zohran Kwame Mamdani,,1
Whitney R. Tilson,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,,1
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,Whitney R. Tilson,1
Michael Blake,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,1
Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,1
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,1
Selma K. Bartholomew,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zellnor Myrie,1
Whitney R. Tilson,Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Selma K. Bartholomew,1
Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Adrienne E. Adams,Paperboy Love Prince,1
Scott M. Stringer,Jessica Ramos,Michael Blake,Adrienne E. Adams,Zohran Kwame Mamdani,1
Scott M. Stringer,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,1
Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Write-In,Brad Lander,1
Jessica Ramos,Michael Blake,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,1
Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,1
Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,Write-In,,1
Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Write-In,1
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Scott M. Stringer,Adrienne E. Adams,1
Michael Blake,Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,1
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Brad Lander,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Selma K. Bartholomew,Scott M. Stringer,1
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,Whitney R. Tilson,1
Brad Lander,Adrienne E. Adams,Jessica Ramos,Write-In,Andrew M. Cuomo,1
Michael Blake,Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,Zellnor Myrie,1
Jessica Ramos,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,Scott M. Stringer,1
Brad Lander,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,1
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,Paperboy Love Prince,1
Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,Michael Blake,1
Brad Lander,Michael Blake,Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,1
Michael Blake,Paperboy Love Prince,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,1
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,1
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,,1
Whitney R. Tilson,Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Brad Lander,1
Paperboy Love Prince,Zellnor Myrie,Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,1
Brad Lander,Scott M. Stringer,Michael Blake,Andrew M. Cuomo,Jessica Ramos,1
Michael Blake,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,1
Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,1
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,1
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,Adrienne E. Adams,,1
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,Jessica Ramos,1
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Brad Lander,1
Brad Lander,Write-In,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,1
Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,1
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Paperboy Love Prince,1
Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Paperboy Love Prince,Zohran Kwame Mamdani,1
Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,Selma K. Bartholomew,1
Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,Scott M. Stringer,1
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,1
Zellnor Myrie,Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,1
Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Jessica Ramos,1
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,1
Brad Lander,Paperboy Love Prince,Zellnor Myrie,,,1
Zellnor Myrie,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Michael Blake,1
Scott M. Stringer,Zohran Kwame Mamdani,Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,1
Write-In,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,,1
Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,1
Brad Lander,Michael Blake,Jessica Ramos,Selma K. Bartholomew,,1
Zellnor Myrie,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,1
Brad Lander,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,Jessica Ramos,1
Zohran Kwame Mamdani,Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,1
Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,,1
Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,1
Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,1
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Write-In,1
