rank1,rank2,rank3,rank4,rank5,count
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,298
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,297
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,296
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,,294
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,293
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,292
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,291
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Michael Blake,Brad Lander,290
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,,,285
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Paperboy Love Prince,284
Zohran Kwame Mamdani,Adrienne E. Adams,Jumaane D. Williams,,,284
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Michael Blake,283
Brad Lander,Marty Dolan,,,,282
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,278
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,277
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,,,277
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,277
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Michael Blake,Adrienne E. Adams,275
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,274
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,,272
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Jessica Ramos,272
Selma K. Bartholomew,,,,,272
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Write-In,271
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,,268
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,268
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,,268
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,,,268
